,country_name,country_iso,region,subregion,latlng
234,Tuvalu,TUV,Oceania,Polynesia,"[-8.0, 178.0]"
235,Uganda,UGA,Africa,Eastern Africa,"[1.0, 32.0]"
236,Ukraine,UKR,Europe,Eastern Europe,"[49.0, 32.0]"
237,United Arab Emirates,ARE,Asia,Western Asia,"[24.0, 54.0]"
238,United Kingdom of Great Britain and Northern Ireland,GBR,Europe,Northern Europe,"[54.0, -2.0]"
239,United States of America,USA,Americas,Northern America,"[38.0, -97.0]"
240,Uruguay,URY,Americas,South America,"[-33.0, -56.0]"
241,Uzbekistan,UZB,Asia,Central Asia,"[41.0, 64.0]"
242,Vanuatu,VUT,Oceania,Melanesia,"[-16.0, 167.0]"
243,Venezuela (Bolivarian Republic of),VEN,Americas,South America,"[8.0, -66.0]"
244,Vietnam,VNM,Asia,South-Eastern Asia,"[16.16666666, 107.83333333]"
245,Wallis and Futuna,WLF,Oceania,Polynesia,"[-13.3, -176.2]"
246,Western Sahara,ESH,Africa,Northern Africa,"[24.5, -13.0]"
247,Yemen,YEM,Asia,Western Asia,"[15.0, 48.0]"
248,Zambia,ZMB,Africa,Eastern Africa,"[-15.0, 30.0]"
249,Zimbabwe,ZWE,Africa,Southern Africa,"[-20.0, 30.0]"
